34196
My Darling Clementine | Linda Darnell | cast_member
Jonathan Levine | Film director | occupation
White Lies (Paul van Dyk song) | The Other Side (Paul van Dyk song) | follows
Aaytha Ezhuthu | Mani Ratnam | director
Lee Rock II | Andy Lau | cast_member
Doo-Bop | Miles Davis | performer
Happy Days (1929 film) | Betty Grable | cast_member
Three Sappy People | Film | instance_of
JRuby | Free software | instance_of
A French Mistress | United Kingdom | country_of_origin
Charles Bally | Athens | work_location
Vendetta (Star Trek) | Pocket Books | publisher
The Wrath of God | Film | instance_of
Epiphanies (Babylon 5) | The Illusion of Truth | followed_by
That's My Line (film) | Roscoe Arbuckle | screenwriter
Ek Bechara | Rekha | cast_member
Gheorghe Remenco | Chișinău | place_of_death
Neelakuyil | A. Vincent | director_of_photography
Gareth Price | Hull Kingston Rovers | member_of_sports_team
The Open Road | Lyle Lovett | cast_member
Dream Wife | Walter Pidgeon | cast_member
A Thousand Miles from Nowhere | Ain't That Lonely Yet | follows
Sock-a-Bye Baby | Columbia Pictures | distributed_by
Shadows and Fog | Film | instance_of
Dick Tracy (1990 film) | Richard Marks | film_editor
I complessi | Italian language | original_language_of_film_or_TV_show
Reservoir Dogs | Michael Madsen | cast_member
Il demonio | Titanus | production_company
Compagnie Monégasque de Banque | Monte Carlo | headquarters_location
Vladimír Mečiar | Slovak language | languages_spoken,_written_or_signed
Laurence Olivier | Renal failure | cause_of_death
Francis Goes to West Point | Film | instance_of
What Ever Happened to Baby Jane%3F (1962 film) | Malibu, California | filming_location
New Haven, Connecticut | Freetown | twinned_administrative_body
Women Are Like That | Heinz Roemheld | composer
Seven Girlfriends | Film | instance_of
Frank Cook | London | work_location
Live While We're Young | More than This (One Direction song) | follows
Vadim Berdnikov | Traktor Chelyabinsk | member_of_sports_team
Gigolettes | Roscoe Arbuckle | director
Arthur Bradford (footballer) | Southampton | place_of_death
Pulse (1995 film) | Pink Floyd | performer
Hey Mama (David Guetta song) | France | country_of_origin
Ee Sabdam Innathe Sabdam | Shobana | cast_member
The Wicked Lady (1983 film) | John Gielgud | cast_member
Pokémon Heroes | Anime | genre
Robin Trower Live | For Earth Below | follows
Beer for My Horses (film) | Film | instance_of
Magic Mike | Film | instance_of
Go D.J. | Cash Money Records | record_label
Tora-san Plays Cupid | Japan | country_of_origin
Adina Howard | African Americans | ethnic_group
Ulysses (1954 film) | Mario Bava | director_of_photography
The Separation (Animorphs) | K. A. Applegate | author
Saint Joan (film) | John Gielgud | cast_member
You Nazty Spy! | Film | instance_of
Devices and Desires | United Kingdom | country_of_origin
I Gotta Feeling | Boom Boom Pow | follows
True Grit (2010 film) | Amblin Entertainment | production_company
The Lieutenant Wore Skirts | Frank Tashlin | director
Robin (The Hooded Man) | Clannad | performer
Fräulein Doktor (film) | Film | instance_of
The Counterfeit Traitor | George Seaton | director
Twilight (1944 film) | Film | instance_of
Io e mia sorella | Antonio Siciliano | film_editor
Ray Charles | Pianist | occupation
Joe Cassidy (footballer, born 1896) | United Kingdom | country_of_citizenship
Shakti Kapoor | Delhi | place_of_birth
I'd Rather Be Rich | Maurice Chevalier | cast_member
Andrei Ankudinov | HC Spartak Moscow | member_of_sports_team
Perfect Stranger (film) | Antônio Pinto (composer) | composer
Gardener of Eden | Film | instance_of
Augustus George Vernon Harcourt | United Kingdom | country_of_citizenship
Winds of the Wasteland | John Wayne | director
Andrew Turner (politician) | Politician | occupation
Property Is No Longer a Theft | Luigi Kuveiller | director_of_photography
The Toy (1982 film) | Ned Beatty | cast_member
Anton Plenikowski | East Germany | country_of_citizenship
Through a Glass Darkly (film) | Sweden | country_of_origin
Kyle Wellwood | Atlant Moscow Oblast | member_of_sports_team
The Mill and the Cross | Sweden | country_of_origin
The Last Kiss (2006 film) | Tom Wilkinson | cast_member
P. D. James | United Kingdom | country_of_citizenship
Mack Gordon | Warsaw | place_of_birth
The Flying Squad (1929 film) | John Longden | cast_member
Gin and Juice | Snoop Dogg | performer
Andy Hunter (DJ) | Techno | genre
Michael Jordan (footballer) | England national under-19 football team | member_of_sports_team
The Four Poster (film) | Film | instance_of
The Bishop's Gambit | Sydney Lotterby | producer
Bloodfist VI: Ground Zero | Film | instance_of
Sone Pe Suhaaga | Nutan | cast_member
Marty (film) | Joseph LaShelle | director_of_photography
The New Age (film) | Film | instance_of
Dudley Senanayake | United National Party | member_of_political_party
A. R. Rahman | Classical music | genre
Main Hoon Na | Shah Rukh Khan | cast_member
The Man with the Golden Gun (film) | Macau | narrative_location
Secret of the Blue Room | Gloria Stuart | cast_member
How to Meet the Lucky Stars | Sammo Hung | cast_member
Kotigobba | Suresh Urs | film_editor
William Jervois | Cowes | place_of_birth
57 (song) | Joy.Discovery.Invention | followed_by
Enzo D'Alò | Film director | occupation
Titanic (1997 film) | Southampton | narrative_location
The Comancheros (film) | Edgar Buchanan | cast_member
Marand County | Iran | country
Zimbabwe | Harare | contains_the_administrative_territorial_entity
101 Dalmatians: The Series | Animation | genre
Actors (film) | Laurent Gamelon | cast_member
Going Bye-Bye! | Stan Laurel | cast_member
Andha Yudh | Raj Babbar | cast_member
That's My Boy (2012 film) | Columbia Pictures | distributed_by
Phantom (2015 film) | Film | instance_of
The Bullfighters | Oliver Hardy | cast_member
James Hong | Film director | occupation
Hey Brother | You Make Me | follows
Johan de Witt | Cornelis de Witt | siblings
Willow (film) | George Lucas | screenwriter
The Cardinal | Arthur Hunnicutt | cast_member
Adivishnu | Film | instance_of
Pearl Jam | Alternative rock | genre
The Most Wonderful Evening of My Life | Alberto Sordi | cast_member
Stage Struck (1958 film) | Susan Strasberg | cast_member
Vaanam | Krish (director) | director
Nixon (film) | John Williams | composer
Don't You Want Me | Open Your Heart (The Human League song) | follows
Mary Nolan | Model (people) | occupation
On the Loose (1951 film) | Charles Lederer | director
Firefox (film) | Clint Eastwood | cast_member
Encore (1996 film) | Pascal Bonitzer | director
Two Rode Together | John Ford | director
Watch the Birdie (1950 film) | Film | instance_of
Denis Grebeshkov | Russia | country_of_citizenship
Side Effects (2013 film) | Steven Soderbergh | director
You Win or You Die | Daniel Minahan | director
Southampton | Hampshire | enclave_within
Conan the Avenger | L. Sprague de Camp | author
Sally (1925 film) | Mervyn LeRoy | screenwriter
Ketia Swanier | Point guard | position_played_on_team_/_speciality
Tenderloin (film) | Film | instance_of
Schiedam | Udine | twinned_administrative_body
Fort Worth, Texas | Budapest | twinned_administrative_body
Maureen Starkey Tigrett | Leukemia | cause_of_death
Caron Butler | Los Angeles Clippers | member_of_sports_team
George Bowen (rugby player) | Swansea | place_of_birth
Aluminium Hormozgan F.C. | Iran | country
Warning Shot | Film | instance_of
Filip Windlert | Sweden | country_of_citizenship
Darwinia (video game) | Real-time tactics | genre
When (Shania Twain song) | Shania Twain | performer
Janice McGeachin | Politician | occupation
The Weinstein Company | Harvey Weinstein | founded_by
The Man Who Shot Liberty Valance | John Carradine | cast_member
Bartın Province | Turkey | country
The Defamation of Strickland Banks | Plan B (musician) | performer
Dead Man | Jim Jarmusch | screenwriter
My Choice (After Forever song) | Monolith of Doubt | follows
Krystyna Radziwiłł | Mikołaj %22the Black%22 Radziwiłł | father
USS Albany (SSN-753) | Norfolk, Virginia | shipping_port
Wanghte | Myitkyina District | located_in_the_administrative_territorial_entity
Team America: World Police | Trey Parker | screenwriter
Riku Hahl | Jokerit | member_of_sports_team
Vinodayathra | Film | instance_of
Richard III (1995 film) | Trevor Jones (composer) | composer
Taylor Swift | Pianist | occupation
Ponyo | Film | instance_of
Gone Baby Gone | The Ladd Company | production_company
The Happening (2008 film) | M. Night Shyamalan | cast_member
Man Without a Star | Film | instance_of
Bandhe Haath | Mumtaz (actress) | cast_member
Crazy Beat | Out of Time (Blur song) | follows
The Good Night | Danny DeVito | cast_member
ABBA | Benny Andersson | named_after
The Sensual Man | Giancarlo Giannini | cast_member
Rain on Lens | Accumulation: None | followed_by
Benchmark (game show) | Channel 4 | original_broadcaster
Golden Balls (film) | Nicola Piovani | composer
Respect My Conglomerate | Universal Motown Records | record_label
Injakkadan Mathai & Sons | Ravi K. Chandran | director_of_photography
The Compleat Beatles | John Lennon | cast_member
Get Shorty (film) | Alex Rocco | cast_member
Paul Thomas Anderson | Film director | occupation
Dead End (Angel) | Angel (1999 TV series) | part_of_the_series
The Careless Years | Dean Stockwell | cast_member
Paul Flora | Innsbruck | place_of_death
Summer Storm (1944 film) | Jimmy Conlin | cast_member
Woman Times Seven | Vittorio Gassman | cast_member
Cross of Iron | Maximilian Schell | cast_member
Nightmare Cafe | Robert Englund | cast_member
F , X2 | Thriller (genre) | genre
Red Hot and Heavy | Future World (Pretty Maids album) | followed_by
Passage (2009 film) | A. R. Rahman | composer
Larry Spriggs | Houston Rockets | member_of_sports_team
The Trigger Effect | Elisabeth Shue | cast_member
The Betsy | Lesley-Anne Down | cast_member
The Devil's Disciple (1959 film) | Film | instance_of
Iruvar | Gautami | cast_member
Scarface (1932 film) | Howard Hawks | cast_member
21 Guns (song) | Alternative rock | genre
The Bat (1926 film) | Roland West | screenwriter
Bristol Rugby | Rugby union | sport
Sitapur Ki Geeta | Rajesh Khanna | cast_member
In the Meantime, Darling | Otto Preminger | director
Fifty Shades of Grey (film) | Focus Features | production_company
Basshunter | Sweden | country_of_citizenship
Philip Giraldi | University College London | educated_at
Daniel Schultz | Baroque | movement
Escape from New York | Dean Cundey | director_of_photography
Ed Wood (film) | Vincent D'Onofrio | cast_member
The Soloist | StudioCanal | production_company
Skopje | Sofia | twinned_administrative_body
The Firm (1993 film) | Thriller (genre) | genre
Tommy (1975 film) | Film | instance_of
Cabin Boy | Russ Tamblyn | cast_member
Kohana (framework) | Free software | instance_of
The New York Hat | Billy Bitzer | director_of_photography
Hugh FitzRoy, 11th Duke of Grafton | Politician | occupation
Spinmaster | Neo Geo (system) | platform
Bob Barr | Politician | occupation
Seyed Mehdi Qiyassi | Iran | country_of_citizenship
The Mortal Storm | James Stewart | cast_member
National Gallery of Art | Art museum | instance_of
Resolver (Shinhwa album) | S.M. Entertainment | record_label
Spanglish (film) | Adam Sandler | cast_member
All Good Things (film) | Frank Langella | cast_member
Neues vom Hexer | Robert Hoffmann | cast_member
As Above, So Below (film) | Film | instance_of
Nikolai Lemtyugov | Atlant Moscow Oblast | member_of_sports_team
You Belong to Me (1941 film) | Joseph Walker (cinematographer) | director_of_photography
Cal Johnson (businessman) | Knoxville, Tennessee | place_of_death
High Noon | Floyd Crosby | director_of_photography
Bringing Down the House (film) | Lalo Schifrin | composer
My Darkest Days (album) | Sick and Twisted Affair | followed_by
In the Meantime, Darling | Mary Nash | cast_member
Marshall Herskovitz | Film director | occupation
Cobra (album) | John Zorn | performer
Moonshine Valley | William Fox (producer) | producer
Temptation: Confessions of a Marriage Counselor | Film | instance_of
Actor's and Sin | Ben Hecht | producer
Palermo | Gdańsk | twinned_administrative_body
Qoriniasi Bale | Fiji | country_of_citizenship
René Dubos | National Academy of Sciences | member_of
Into the Ocean | Hate Me | follows
Phoenix Rising (Babylon 5) | A Tragedy of Telepaths | follows
Franco Brusati | Italian language | languages_spoken,_written_or_signed
Heeralaal Pannalal (1978 film) | Shashi Kapoor | cast_member
Mera Saaya | Prem Chopra | cast_member
Javier Bardem | Las Palmas | place_of_birth
Gare de Bordeaux-Saint-Jean | France | country
Thiruda Thiruda | Suresh Urs | film_editor
Panchavadi Palam | Sukumari | cast_member
James A. Bayard (elder) | Wilmington, Delaware | place_of_death
Ain't That Peculiar | Marvin Gaye | performer
Nikita Alexeev | Avangard Omsk | member_of_sports_team
We Begin | ECM Records | record_label
John C. Reynolds | Microsoft | employer
The Moor (novel) | Devon | narrative_location
Women in Love (film) | Georges Delerue | composer
Raiders of the Desert | John Rawlins (director) | director
The Little Things You Do Together | Desperate Housewives | part_of_the_series
Andy Warhol's Frankenstein | Film | instance_of
The Big Blockade | London | narrative_location
Kept Husbands | William LeBaron | producer
Cadences obstinées | France | country_of_origin
Kanyadanam (1998 film) | Upendra (actor) | cast_member
The Telephantasm | Black Rain (Soundgarden song) | follows
Nambaryn Enkhbayar | Mongolia | country_of_citizenship
Dmitri Nabokov (ice hockey) | HC Lada Togliatti | member_of_sports_team
Radioland Murders | Ned Beatty | cast_member
Wee Willie Winkie (film) | C. Aubrey Smith | cast_member
Jim Steinman | Amherst College | educated_at
Arad, Romania | Arad County | located_in_the_administrative_territorial_entity
The Pagan | Irving Thalberg | producer
Michael Jackson | Businessperson | occupation
The Stranger's Hand | Film | instance_of
The Giant of Marathon | Film | instance_of
Sivaji (film) | A. R. Rahman | composer
Through a Glass Darkly (film) | Ingmar Bergman | screenwriter
Aaytha Ezhuthu | Ravi K. Chandran | director_of_photography
Got Money | T-Pain | performer
Virginia (2010 film) | Gus Van Sant | producer
The Disappearance of Garcia Lorca | Spanish Civil War | main_subject
The Lathe of Heaven (film) | David Loxton | producer
Ray Heindorf | New York | place_of_birth
Frost , Nixon (film) | Ron Howard | producer
Robert Aldrich | Film director | occupation
Conan and the Spider God | Bantam Books | publisher
Sitapur Ki Geeta | Film | instance_of
Evanston, Illinois | Cook County, Illinois | located_in_the_administrative_territorial_entity
Grounds for Marriage | Robert Z. Leonard | director
The Beatles Anthology (documentary) | EMI | distributed_by
Leeds Rhinos | United Kingdom | country
The Pope Must Die | Film | instance_of
Saturdays = Youth | Hurry Up, We're Dreaming | followed_by
The Roller Blade Seven | Scott Shaw | producer
Aria (film) | Derek Jarman | director
Whoops, I'm an Indian | Film | instance_of
Underworld: Awakening | Bill Nighy | cast_member
Male and Female | Cecil B. DeMille | producer
You Win or You Die | D. B. Weiss | screenwriter
The Goonies | Piracy | main_subject
2001 (Dr. Dre album) | Dr. Dre | producer
Transformers: Age of Extinction | Paramount Pictures | production_company
The Hit (1984 film) | London | filming_location
Meth (album) | Z-Ro | performer
Robert Sturges | Exeter | place_of_death
Guns a Poppin | Larry Fine | cast_member
Fico d'India | Steno (director) | director
Medemblik | Wervershoof | contains_settlement
Life Is Beautiful | Italian language | original_language_of_film_or_TV_show
Jack's Back | Film | instance_of
Rendu | R. Madhavan | cast_member
Mumbai | Galați | twinned_administrative_body
Raw Deal (1986 film) | Alex Thomson (cinematographer) | director_of_photography
Morning Glory (Oasis song) | Oasis (band) | performer
Stuck in Love | Alchemy (company) | distributed_by
Gareth Price | Leigh Centurions | member_of_sports_team
Footlight Parade | George Barnes (cinematographer) | director_of_photography
David Baltimore | California Institute of Technology | employer
Eduard Vogel von Falckenstein | Pour le Mérite | award_received
Hermann Hüffer | Historian | occupation
Signs (Snoop Dogg song) | Geffen Records | record_label
Breaking Up (film) | Michael Cristofer | screenwriter
McCoy Tyner | Philadelphia | place_of_birth
Scooby-Doo! and the Legend of the Vampire | Frank Welker | cast_member
Douglas Slocombe | London | place_of_death
Marked Woman | Film | instance_of
Me and Earl and the Dying Girl (film) | Jon Bernthal | cast_member
Craig Thomas (author) | London | place_of_death
Being Flynn | Paul Dano | cast_member
Virginia (2010 film) | Ed Harris | cast_member
Every Girl (Young Money song) | Young Money Entertainment | performer
Steve Henson | Milwaukee Bucks | member_of_sports_team
Branded (1950 film) | Charles Lang | director_of_photography
Three Dollar Bill, Y'all | Limp Bizkit | performer
John Huston | Anjelica Huston | child
Like Mike | Bow Wow (rapper) | cast_member
Death or Glory%3F (album) | Roy Harper | performer
Kenneth S. Davis | Salina, Kansas | place_of_birth
The Swindle (1997 film) | Claude Chabrol | screenwriter
Romania | Arad County | contains_the_administrative_territorial_entity
Whisper (film) | Joel Edgerton | cast_member
One, Two, Three | James Cagney | cast_member
Team America: World Police | North Korea | narrative_location
Sexy MF | Paisley Park Records | record_label
Willie Nelson | Guitar | instrument
Five Came Back | John Carradine | cast_member
Be Cool | Film | instance_of
Déjà Vu (2006 film) | Val Kilmer | cast_member
Fright Night (2011 film) | DreamWorks | production_company
Sgt. Pepper's Lonely Hearts Club Band | The Beatles | performer
University of Belgrade | Blue | color
Love Affair (1939 film) | Film | instance_of
Gung Ho (film) | Clint Howard | cast_member
Claude Lelouch | Film director | occupation
Wired (film) | Alex Rocco | cast_member
Gebhard Müller | Bonn | work_location
Pink Flamingos | John Waters | director
Chicago (2002 film) | Christine Baranski | cast_member
The Titfield Thunderbolt | Douglas Slocombe | director_of_photography
In a Valley of Violence | Ti West | screenwriter
Naite mo Iin Da yo | Momoiro Clover Z | performer
Eriksmåla | Småland | located_in_the_administrative_territorial_entity
Devasthanam (film) | Film | instance_of
My Favorite Blonde | Bing Crosby | cast_member
Couldn't Be Hotter | Vibrate (album) | followed_by
Mooching Through Georgia | Jules White | producer
Bridge of Sighs (album) | For Earth Below | followed_by
John Barrow (Canadian football) | Delray Beach, Florida | place_of_birth
Guppedu Manasu | K. Balachander | director
Victory March (film) | Franco Nero | cast_member
The Personal Touch | The Trumpet Summit Meets the Oscar Peterson Big 4 | followed_by
Ek Bechara | Pran (actor) | cast_member
Lumière and Company | Claude Lelouch | director
Almost an Angel | Maurice Jarre | composer
Travis Burns | Hull Kingston Rovers | member_of_sports_team
Mother Is a Freshman | Van Johnson | cast_member
Carnosaur (film) | Clint Howard | cast_member
The Patriot (2000 film) | Jason Isaacs | cast_member
A. R. Rahman | Delhi | place_of_birth
Hercules the Invincible | Italian language | original_language_of_film_or_TV_show
X-Change 2 | Visual novel | genre
Frank Zappa | Bass guitar | instrument
Bruno Rajaozara | Madagascar | country_of_citizenship
Doctor Zhivago (film) | Adrienne Corri | cast_member
Georg Trakl | World War I | conflict
Charlie Countryman | Romania | country_of_origin
Audi A6 | Executive car | part_of_the_series
São Paulo | Tel Aviv | twinned_administrative_body
City Heat | Film | instance_of
Nacho Libre | Beck | composer
Little Big Horn (album) | Riverside Records | record_label
Stuart Gillard | Film director | occupation
The Children of Sanchez (film) | Film | instance_of
In Praise of Pip | The Twilight Zone (1959 TV series) | part_of_the_series
Anna (1951 film) | Raf Vallone | cast_member
The Pink Panther (1963 film) | Film | instance_of
Nasihat | Shabana Azmi | cast_member
Shadows in the Sun | France | country_of_origin
The Fighting Marines | Robert Warwick | cast_member
The Lives of a Bengal Lancer (film) | J. Carrol Naish | cast_member
Sylvia Rafael | Leukemia | cause_of_death
Red 2 (film) | Bruce Willis | cast_member
3 Geezers! | Tim Allen | cast_member
The Legend of Zorro | Sony Pictures Entertainment | production_company
The Betsy | Film | instance_of
Jeff Foxworthy | Atlanta | place_of_birth
Japan | Asia | continent
Jeanne Kohl-Welles | Madison, Wisconsin | place_of_birth
Project – A Perfect World | The Treasure of El Patron | followed_by
Man Without a Star | Borden Chase | screenwriter
Ri Chun-hee | News presenter | occupation
Lilo & Stitch | Dean Cundey | director_of_photography
Charity Ann | Maurice Elvey | director
The Trigger Effect | Dermot Mulroney | cast_member
Jim Brown: All-American | Spike Lee | producer
Jared Leto | Alternative rock | genre
Cross of Iron | David Warner (actor) | cast_member
Vampire Noir | Scott Shaw | director_of_photography
Schizopolis | Film | instance_of
I Just Want to Dance with You | George Strait | performer
Paul Sarossy | Film director | occupation
Beverly Hills Cop II | Eddie Murphy | cast_member
Muhammad Baqir Majlisi | Isfahan | place_of_birth
Alexander Vasilyevich Belyakov | Order of the Red Banner | award_received
Evgeny Shaldybin | HC Sibir Novosibirsk | member_of_sports_team
William Jervois | United Kingdom | country_of_citizenship
Michel Simon | Geneva | place_of_birth
Nino Rota | Pianist | occupation
Auxerre | France | country
Quarry (Ally Kennen novel) | Sparks (Ally Kennen novel) | follows
The Return (2006 film) | Adam Scott (actor) | cast_member
Birdman of Alcatraz (film) | Elmer Bernstein | composer
Freddie Fox (footballer) | United Kingdom | country_of_citizenship
Plus grandir | Mylène Farmer | lyricist
Johann Gabriel Chasteler de Courcelles | French Revolutionary Wars | conflict
Hangover Square (film) | Joseph LaShelle | director_of_photography
Duel in the Sun (film) | King Vidor | director
Genpei Tōma Den | TurboGrafx-16 | platform
Manuel Aeschlimann | Politician | occupation
28 Weeks Later | Fox Searchlight Pictures | distributed_by
Once Upon a Time in Mexico | Enrique Iglesias | cast_member
Pretty Little Head (song) | Paul McCartney | performer
The Hollow Hills | Fantasy | genre
Long Gone (film) | William Petersen | cast_member
Sivaji Ganesan | Padma Shri | award_received
Les Mystères de Paris (1962 film) | Film | instance_of
Ko (film) | Harris Jayaraj | composer
Desert Song | Def Leppard | performer
The Family Way | United Kingdom | country_of_origin
Daniel O'Neill (Royalist) | Katherine Stanhope, Countess of Chesterfield | spouse
Battle of Neretva (film) | Orson Welles | cast_member
Flesh (1932 film) | Jean Hersholt | cast_member
Tony Blair | Yale University | employer
Romance of the Three Kingdoms VI: Awakening of the Dragon | Turn-based strategy | genre
Follow Me, Boys! | Clifford Stine | director_of_photography
Wuhan | Bordeaux | twinned_administrative_body
Nuts (film) | Karl Malden | cast_member
Carmelo (given name) | Spanish language | language_of_work_or_name
Major League Baseball 2K12 | DVD | distribution_format
The Premature Burial (film) | Gene Corman | producer
One, Two, Three | Billy Wilder | director
Central District (Darab County) | Iran | country
Primrose Path (film) | Joseph H. August | director_of_photography
Pure Luck | Danny Glover | cast_member
Junior Langi | Salford Red Devils | member_of_sports_team
John Loves Mary | Jack Carson | cast_member
Don Nelson | Milwaukee Bucks | member_of_sports_team
Bolivia | South America | continent
Alive (1993 film) | Film | instance_of
Love That Brute | Cesar Romero | cast_member
Expensive Women | Film | instance_of
Kiar County | Iran | country
Fredrik Modin | Sweden | country_of_citizenship
Night Shift at the Thrill Factory | Rough Trade Records | record_label
Don May (basketball) | New York Knicks | member_of_sports_team
David Aebischer | HC Fribourg-Gottéron | member_of_sports_team
The Hangman (1959 film) | Paramount Pictures | distributed_by
Sergei Pryakhin | Moscow | place_of_birth
Frank Butler (writer) | United Kingdom | country_of_citizenship
Aruna Irani | Mumbai | place_of_birth
Paul Bettany | Catholicism | religion_or_worldview
Of Cash and Hash | Moe Howard | cast_member
The Traffic Policeman | Luigi Zampa | director
Cold (Kanye West song) | Kanye West | lyricist
Adolf Anderssen | Wrocław | place_of_death
Joe Roberts (footballer) | United Kingdom | country_of_citizenship
End of Days (film) | Rod Steiger | cast_member
Bruce Bennett | University of Washington | educated_at
Evelyn Denington, Baroness Denington | United Kingdom | country_of_citizenship
Bolesław I the Brave | Mieszko I of Poland | father
AppStream | Free software | instance_of
Promises (Def Leppard song) | Paper Sun (Def Leppard song) | followed_by
Million Dollar Mermaid | London | narrative_location
Gebhard Müller | University of Tübingen | educated_at
Four O'Clock | Rod Serling | screenwriter
Toyomichi Kurita | Japan | country_of_citizenship
Anjali Devi | Chennai | place_of_death
The Damned Don't Cry! | Steve Cochran | cast_member
Robert E. Huyser | United States Air Force | military_branch
Broken City (film) | Catherine Zeta-Jones | cast_member
Audace colpo dei soliti ignoti | Italian language | original_language_of_film_or_TV_show
Ghosttown (Madonna song) | Madonna (entertainer) | cast_member
Armageddon (1998 film) | John Schwartzman | director_of_photography
Bikini Beach | Stevie Wonder | cast_member
Don Quixote (unfinished film) | Orson Welles | director_of_photography
Kidnapped (1971 film) | Film | instance_of
P. D. James | Politician | occupation
Crack a Bottle | 50 Cent | performer
42nd Street (film) | Film | instance_of
Adhurs | Nayanthara | cast_member
Voltaire (film) | John G. Adolfi | director
True Romance | Quentin Tarantino | screenwriter
Billy Preston | Keyboardist | occupation
Odd Man Out | Film | instance_of
Lee Morgan | Philadelphia | place_of_birth
Bloodline (1979 film) | Gert Fröbe | cast_member
The Borrowers (1997 film) | Film | instance_of
It's a Joke, Son! | Eagle-Lion Films | distributed_by
Jade Empire | DVD | distribution_format
Andy Warhol's Frankenstein | Carlo Ponti | producer
Prince Far I | Kingston, Jamaica | place_of_birth
Strano appuntamento | Angelo Francesco Lavagnino | composer
At the Altar | D. W. Griffith | cast_member
The Witch Tree Symbol | The Hidden Window Mystery | followed_by
Kanye West | Atlanta | place_of_birth
Petar Živković | University of Belgrade | educated_at
I'm Housin | EPMD | performer
Frank Winters | Hoboken, New Jersey | place_of_birth
Tom Hurst | Leicester | place_of_birth
Lord Edgware Dies (film) | H. Fowler Mear | screenwriter
Winds of Chance | George Nichols (actor) | cast_member
Repossessed (film) | Ned Beatty | cast_member
Michael Powell | Film director | occupation
John A. McMahon | Politician | occupation
Paper Sun (Def Leppard song) | Def Leppard | performer
Broken Embraces | Pedro Almodóvar | screenwriter
Lost (TV series) | Korean language | original_language_of_film_or_TV_show
Angels' Alley | William Beaudine | director
Tintoretto | Venice | place_of_death
Rafi's Revenge | London Records | record_label
New Delhi | Washington, D.C. | twinned_administrative_body
Kosovo | Montenegro | shares_border_with
Kenny Rogers | Capitol Records Nashville | record_label
The Bees (film) | John Carradine | cast_member
Just Married (2007 film) | Pritam Chakraborty | composer
Korie Lucious | Gary, Indiana | place_of_birth
Dmitri Yushkevich | Toronto Maple Leafs | member_of_sports_team
Cheer Boys Cheer | United Kingdom | country_of_origin
Figure of Eight (song) | Paul McCartney | performer
The Beastmaster | Film | instance_of
The Vagabond (film) | Charlie Chaplin | screenwriter
The Big Trees | Louis F. Edelman | producer
Money for Speed | Ida Lupino | cast_member
Kamen Rider Drive | Japan | country_of_origin
The Effect of Gamma Rays on Man-in-the-Moon Marigolds (film) | Film | instance_of
Hanna-Barbera's 50th: A Yabba Dabba Doo Celebration | The Jetsons | based_on
Train of Thought (Cher song) | MCA Inc. | record_label
Stardust Memories | Sharon Stone | cast_member
The Family Man | Danny Elfman | composer
Love Like This (Natasha Bedingfield song) | Me Love | follows
Happy Jack (song) | The Who | performer
Khud-Daar | Sanjeev Kumar | cast_member
The Geometry of Shadows | J. Michael Straczynski | screenwriter
Romeo and Juliet (1954 film) | United Kingdom | country_of_origin
Night People (film) | Charles G. Clarke | director_of_photography
The Cardinal | John Saxon (actor) | cast_member
Eddie Blay | Accra | place_of_birth
Airplane! | Elmer Bernstein | composer
Blast from the Past (film) | Film | instance_of
Ciego de Ávila Province | Camagüey Province | shares_border_with
Club Africain | Tunisia | country
The Boys from Brazil (film) | United Kingdom | country_of_origin
We've Never Been Licked | Milton R. Krasner | director_of_photography
Carlton-Browne of the F.O. | Terry-Thomas | cast_member
Chris Nurse | University of Birmingham | educated_at
Baby (The Detroit Cobras album) | Life, Love and Leaving | follows
A Time for Killing | Film | instance_of
Successful (song) | Young Money Entertainment | record_label
Gharana (1989 film) | Film | instance_of
Moondru Mudichu | M. S. Viswanathan | composer
Babol County | Counties of Iran | instance_of
Whataya Want from Me | Max Martin | lyricist
This Picture (song) | Special Needs (Placebo song) | followed_by
Isfahan | Kuala Lumpur | twinned_administrative_body
Marith Rebel-Volp | Labour Party (Netherlands) | member_of_political_party
Nouvelle Vague (film) | Jean-Luc Godard | screenwriter
So Near, Yet so Far | Claire McDowell | cast_member
The Saint (film) | Russia | filming_location
Young Guns II | Young Guns (film) | follows
Robert Fricke | Felix Klein | doctoral_advisor
Women Are Like That | Pat O'Brien (actor) | cast_member
Artyom Ternavsky | Torpedo Nizhny Novgorod | member_of_sports_team
Live While We're Young | One Direction | performer
Augustus George Vernon Harcourt | Balliol College, Oxford | educated_at
The Green Glove | Glenn Ford | cast_member
Sivandha Mann | Sivaji Ganesan | cast_member
Lethal Weapon 2 | Joel Silver | producer
Shrek Forever After | Cameron Diaz | cast_member
Many Rivers to Cross (film) | Film | instance_of
Curly Howard | Shemp Howard | siblings
Hanging Up | Meg Ryan | cast_member
Mayuri (film) | Film | instance_of
Alex Brown (rugby league) | Huddersfield Giants | member_of_sports_team
The New York Hat | Mary Pickford | cast_member
Doomsday (2008 film) | Neil Marshall | screenwriter
The Karate Killers | Joan Crawford | cast_member
Sathyameva Jayathe | Viji Thampi | director
We Cheer 2 | Bandai Namco Entertainment | developer
Bob Hope | Catholicism | religion_or_worldview
James Logan (footballer, born 1885) | United Kingdom | country_of_citizenship
Happy Land (film) | Kenneth Macgowan | producer
