21274
Gilles Mbang Ondo | Libreville | wasBornIn
Jim Broadbent | Magik (film) | actedIn
Leandro de Deus Santos | Borussia Dortmund | isAffiliatedTo
Giovanni Ribisi | The Gift (2000 film) | actedIn
Doane Harrison | Thrill of a Lifetime (film) | edited
Asadabad, South Khorasan | Nehbandan County | isLocatedIn
Iftekhar | Fakira (film) | actedIn
Pat Proft | Bachelor Party (1984 film) | created
Mathieu Kassovitz | La Haine | created
Phil Karlson | The Wrecking Crew (1968 film) | directed
Daniel Powell | Forest Green Rovers F.C. | isAffiliatedTo
Jean Stéphane Yao Yao | UMF Selfoss | playsFor
Hurley Common | North Warwickshire | isLocatedIn
DJ Spinz | Fuck Up Some Commas | created
Helen Logan | Here Comes Trouble (1936 film) | created
Josh Leo | Nothin' New Under the Moon | created
Walter Pidgeon | Million Dollar Mermaid | actedIn
Simone Vitale | Frosinone Calcio | playsFor
Joe Seremane | South Africa | isCitizenOf
Kemokai Kallon | Tadamon Sour | playsFor
Robbie Coltrane | Buddy (1997 film) | actedIn
Manisha Koirala | Company (film) | actedIn
Fernando Obama | Sangonera Atlético CF | isAffiliatedTo
Roman Yevmenyev | FC Nistru Otaci | playsFor
Ralph Felton | Midway, Washington County, Pennsylvania | diedIn
Kevin Muscat | Millwall F.C. | isAffiliatedTo
Vijayashanti | Mannan (film) | actedIn
Ismael Díaz (Panamanian footballer) | Panama national football team | playsFor
Simran (actress) | Goppinti Alludu | actedIn
Red Buttons | Five Weeks in a Balloon (film) | actedIn
David Fas | Universidad de Las Palmas CF | isAffiliatedTo
Michael Madsen | Free Willy | actedIn
Lushnjë | Albania | isLocatedIn
Madeleine Carroll | North West Mounted Police (film) | actedIn
Pain Mahalleh-ye Rudbaneh | Rudboneh Rural District | isLocatedIn
Clifton Parker | When the Bough Breaks (1947 film) | wroteMusicFor
Mike Sweeney (soccer) | Boston Bolts | playsFor
Larry Fessenden | Wendigo (film) | directed
Jerry Duplessis | Shape of You (Reshaped) | created
Bruce Greenwood | Mao's Last Dancer (film) | actedIn
Mike Gregorian | Los Angeles Heat | isAffiliatedTo
Bruce Paltrow | The White Shadow (TV series) | created
Brooks & Dunn | You're Gonna Miss Me When I'm Gone | created
Nigel Patrick | Battle of Britain (film) | actedIn
Kacey Musgraves | Mama's Broken Heart | created
Lyndsey Patterson | Philadelphia Independence | playsFor
Bernie Casey | Guns of the Magnificent Seven | actedIn
Leroy Shield | Wild Poses | wroteMusicFor
Courtney Love | 200 Cigarettes | actedIn
Vishal–Shekhar | Bhoothnath | wroteMusicFor
Thierry Lhermitte | Les Rois du gag | actedIn
Akira Ifukube | Anatahan (film) | wroteMusicFor
Aco Stojkov | FC Botoșani | isAffiliatedTo
Borja del Rosario | Montañeros CF | isAffiliatedTo
Guido & Maurizio De Angelis | 2019, After the Fall of New York | wroteMusicFor
Paul Rudd | I Love You, Man | actedIn
John Scott (composer) | Inseminoid | created
Adrian Ionescu | CSM Metalul Reșița | playsFor
Omarion | Post to Be | created
Henry B. Walthall | The Lemon Drop Kid (1934 film) | actedIn
Magda Schneider | Victoria in Dover (1954 film) | actedIn
Dary Holm | Man Against Man | actedIn
Herbert Mason | Fingers (1941 film) | directed
Đorđe Jočić | Serbian White Eagles FC | isAffiliatedTo
Betty Compson | Mad Youth | actedIn
Jayalalithaa | Adimaippenn | actedIn
Clea DuVall | Girl, Interrupted (film) | actedIn
Kalmat | Sarbuk Rural District | isLocatedIn
John Bloom (film editor) | Dracula (1979 film) | edited
Backstreet Boys | Helpless When She Smiles | created
Robbie Nevil | High School Musical on Stage! | wroteMusicFor
David Raksin | Love Has Many Faces | wroteMusicFor
Ashley Carew | Ebbsfleet United F.C. | isAffiliatedTo
Richie Sambora | Livin' on a Prayer | created
Chandrasekhar (Tamil actor) | Madurai Meenakshi (film) | actedIn
Francis Lai | Association of Wrongdoers | wroteMusicFor
Ennio de Concini | The Scalawag Bunch | created
Ahmed Deen | Sierra Leone | isCitizenOf
Giorgi Megreladze | FC Shurtan Guzar | isAffiliatedTo
Michael Tronick | Hairspray (2007 film) | edited
Louis Levy | The Citadel (film) | wroteMusicFor
Anthony Mann | Serenade (1956 film) | directed
Matthew Rhys | Royal Academy of Dramatic Art | graduatedFrom
Valentine Davies | Sailor of the King | created
Rhett Warrener | Florida Panthers | isAffiliatedTo
Martin Scorsese | It's Not Just You, Murray! | created
Ambika Sukumaran | Anarkali (1966 film) | actedIn
Victor Saville | I Was a Spy | directed
Ed Begley | The Roosevelt Story | actedIn
Gerd Oswald | Paris Holiday | directed
Roger Spottiswoode | Tomorrow Never Dies | directed
Walter Brennan | The Buccaneer (1938 film) | actedIn
Amy McCann (footballer) | Birmingham City L.F.C. | playsFor
Greg Bajek | Central Jersey Riptide | isAffiliatedTo
Kirk Alyn | Call of the Rockies | actedIn
Baruch Agadati | Bender, Moldova | wasBornIn
Orest Banach | Ukrainian Lions | playsFor
Bob Rafelson | Stay Hungry | directed
Andrew Mondshein | The Four Feathers (2002 film) | edited
Kulaura Upazila | Sylhet Division | isLocatedIn
Europe (band) | Always the Pretenders | created
Jack Carson | Navy Blues (1941 film) | actedIn
Greta Scacchi | Vincent D'Onofrio | isMarriedTo
Peter Gabriel | Real World Records | created
Ricky Martin | Livin' la Vida Loca | created
Zoran Miserdovski | FK Milano Kumanovo | playsFor
Ben Welden | Love Is on the Air | actedIn
Patrick Williams (composer) | How Sweet It Is! | wroteMusicFor
Eric Tsang | I Love Hong Kong | directed
Brett Anderson | Beautiful Ones | created
Paul Sutcliffe | Whitehead Prize | hasWonPrize
La Grande-3 generating station | Baie-James | isLocatedIn
Ace Herman | Tuna Clipper | edited
Saša Ranković | Ayeyawady United F.C. | isAffiliatedTo
Juan Huerta | Sportivo Italiano | isAffiliatedTo
John Huston | Wales | isCitizenOf
Sarah Jessica Parker | Failure to Launch | actedIn
Luke Lewis | Wales | isCitizenOf
Stephen McNally | Once You Kiss a Stranger | actedIn
Wiz Khalifa | Beat It (Sean Kingston song) | created
Guy Kibbee | Dames | actedIn
Marcel Meeuwis | VVV-Venlo | playsFor
Daniel Boulanger | A Matter of Resistance | created
Ahmet Özdemirok | Varbergs BoIS | isAffiliatedTo
Frédéric Duplus | France national under-18 football team | isAffiliatedTo
Ronald Isley | Living Better Now | created
Maryedith Burrell | Mr. St. Nick | created
Delhi Ganesh | Ponmanam | actedIn
M. K. Asante | It's Bigger Than Hip Hop | created
Migen Metani | Albania | isCitizenOf
Ralph Black (soccer) | Seattle Storm (soccer) | playsFor
Sasu Hovi | Toijala | wasBornIn
Ann Rutherford | Whistling in the Dark (1941 film) | actedIn
Busby Berkeley | Hollywood Hotel (film) | directed
Billy Currie | One Small Day | created
Jack Palance | Chato's Land | actedIn
Michael Fisher | Wolf Prize | hasWonPrize
Cameron Crowe | Josh Schwartz | influences
Richard Arlen | The Great Barrier (film) | actedIn
Clinton Sparks | Shake Señora | created
Manuel Pamić | Frosinone Calcio | playsFor
Arnaud Casquette | Mauritius | isCitizenOf
Rajendra Kumar | Goonj Uthi Shehnai | actedIn
Bagh-e Kabir | Khafr District | isLocatedIn
Roxy Music | If There Is Something | created
Harold French | The Man Who Loved Redheads | directed
Lew Landers | The Red Rider | directed
Preston Foster | Moon Over Burma | actedIn
Samuel Wilson (footballer) | Atlético Olanchano | isAffiliatedTo
John D. H. Greenwood | Grand National Night | wroteMusicFor
Burt Lancaster | Conversation Piece (film) | actedIn
Robert Morley | The Young Ones (1961 film) | actedIn
Emilio Gutiérrez González | UP Langreo | isAffiliatedTo
Robert Mugabe | University of South Africa | graduatedFrom
Nathalie Baye | Monsieur Papa (1977 film) | actedIn
María Denis | Private Angelo (film) | actedIn
Kent Smith | The Fountainhead (film) | actedIn
Russell Latapy | Edinburgh City F.C. | isAffiliatedTo
Brad Paisley | American Saturday Night (song) | created
Dave Grohl | Marigold (song) | created
Fahrul Razi Kamaruddin | Kuala Lumpur FA | playsFor
Bill Duke | American Gigolo | actedIn
Fernando Fernán Gómez | The Bachelor (1955 film) | actedIn
Sean Bowers | Sporting Kansas City | playsFor
Rachel Stowell | Fulham L.F.C. | isAffiliatedTo
Pey Navand | Siahkal County | isLocatedIn
Richard Conte | I'll Cry Tomorrow | actedIn
Arlene Dahl | Bengal Brigade | actedIn
Susan Hayward | I'll Cry Tomorrow | actedIn
Nick Grinde | How to Sleep | directed
Bernard Sumner | Tighten Up (Electronic song) | created
Sascha Kirschstein | Hamburger SV II | isAffiliatedTo
Au-yeong Pak Kuan | Singapore FA | playsFor
Charlie Estcourt | Reading F.C. Women | isAffiliatedTo
CSS (band) | Music Is My Hot Hot Sex | created
Haim Saban | VR Troopers | created
Sorkhanabad | Galikash County | isLocatedIn
Julie Walters | Buster (film) | actedIn
Issa Sarr | ASC Diaraf | playsFor
Iran Andrielle de Oliveira | Mixto Esporte Clube | playsFor
Edwin Astley | The Crowded Day | wroteMusicFor
Animal Planet | Maryland | isLocatedIn
José Carlos Serrão | São Paulo FC | isAffiliatedTo
Adán Pérez | SD Almazán | playsFor
Zsolt Szabó (footballer) | Soproni VSE | isAffiliatedTo
Ruud Boymans | VVV-Venlo | playsFor
Jim Gabarra | Louisville Thunder | playsFor
Malcolm Young | Touch Too Much | created
Kuryły, Białystok County | Białystok County | isLocatedIn
Franklin Adreon | The Fighting Devil Dogs | created
Robert Day (director) | Tarzan the Magnificent | directed
John Bloom (film editor) | Gandhi (film) | edited
Joel Theissen | Cape Cod Crusaders | isAffiliatedTo
Clarence Kolster | The Old Dark House | edited
Jimmy Adam | South Melbourne FC | isAffiliatedTo
Neil Hamilton (actor) | The Silk Express | actedIn
Ralph Zondag | Dinosaur (film) | directed
Wolsztyn | Wolsztyn County | isLocatedIn
Lido, Papua New Guinea | Sandaun Province | isLocatedIn
Attila Sekerlioglu | Berekum Chelsea F.C. | isAffiliatedTo
Morgan Freeman | High Crimes | actedIn
Ali Mtairik | Al-Ahed SC | isAffiliatedTo
Lindsay Rose | France national under-18 football team | isAffiliatedTo
Vladimir Karalić | FK Rudar Prijedor | isAffiliatedTo
Mirsad Dedić | FK Budućnost Banovići | isAffiliatedTo
Valéry Sanou | Ouagadougou | wasBornIn
Frank Lloyd | If I Were King | directed
Ivan Đurđević | FK Zvezdara | playsFor
Tyga | Loyal (Chris Brown song) | created
Rhonda Fleming | The Killer Is Loose | actedIn
System of a Down | Hypnotize (System of a Down song) | created
Ron Howard | The Spikes Gang | actedIn
Pete Rugolo | Jack the Ripper (1959 film) | wroteMusicFor
Michael Rennie | I'll Be Your Sweetheart | actedIn
Stanisław Jan Jabłonowski | Lviv | diedIn
Arthur Lange | Love Under Fire | wroteMusicFor
Daryl Shore | New Orleans Storm | isAffiliatedTo
Chunky Pandey | Kasam Vardi Ki | actedIn
Louis Levy | Spare a Copper | wroteMusicFor
Nicolas Cage | Snowden (film) | actedIn
Saeed Jaffrey | Bhavna | actedIn
Randy Quaid | No Man's Land (1987 film) | actedIn
Ralph Murphy | The Town Went Wild | directed
Stuart MacLeod (musician) | Losing Friends Over Love | created
Pokwang | The Mommy Returns | actedIn
Auðun Helgason | UMF Selfoss | playsFor
Qarezi, Razavi Khorasan | Central District (Khoshab County) | isLocatedIn
Gaizka Saizar | Granada 74 CF | playsFor
Sergio Sollima | Requiem for a Secret Agent | created
Moussa Guindo | Adjamé | wasBornIn
Mark Mancina | Planes (film) | created
Katrina Kaif | Zindagi Na Milegi Dobara | actedIn
A. K. Lohithadas | Aadhaaram | created
Wyclef Jean | Another One Bites the Dust | created
Allan Russell | Forest Green Rovers F.C. | playsFor
Oleg Mekhov | Narzan Kislovodsk | isAffiliatedTo
Darryl Gomez | SC Toronto | isAffiliatedTo
Dominik Nagy | Hungary national under-17 football team | playsFor
Stephen Chow | CJ7 | actedIn
Icon Water Limited | ActewAGL | owns
Billy Corgan | Spun | wroteMusicFor
Kerry Washington | Bad Company (2002 film) | actedIn
Seema Biswas | Iyarkai | actedIn
Raekwon | Royal Flush (song) | created
Eric Blore | Passport to Suez | actedIn
C. R. Subburaman | Marmayogi | wroteMusicFor
Barry Jepson | Alfreton Town F.C. | playsFor
KTTC | Albert Lea, Minnesota | isLocatedIn
Jerry Santos | Simba S.C. | isAffiliatedTo
Chris Wood (footballer, born 1991) | New Zealand national under-17 football team | isAffiliatedTo
William M. Anderson | At Play in the Fields of the Lord | edited
Dermot Walsh | At the Stroke of Nine | actedIn
Sam O'Steen | Postcards from the Edge (film) | edited
Rodrigo Hernán Lloreda Caicedo | Cali | diedIn
Mikhail Aleksandrovich Smirnov | FC Volochanin-Ratmir Vyshny Volochyok | playsFor
Billy Currie | Hymn (Ultravox song) | created
Ismaël Koudou | ASFA Yennenga | playsFor
Andy Tennant | Sweet Home Alabama (film) | directed
Padmini (actress) | Kaveri (1955 film) | actedIn
Tom Waits | Night on Earth | wroteMusicFor
Liberal Party of Australia | Canberra | isLocatedIn
Rudis Corrales | C.D. Dragón | isAffiliatedTo
Jean McLean | Panama national football team | isAffiliatedTo
Linda Darnell | Peverell Marley | isMarriedTo
James Needs | Captain Kronos – Vampire Hunter | edited
Merouane Kial | MC Saïda | playsFor
Teddy McCarthy | Imokilly GAA | playsFor
Henry Edwards (actor) | The Vicar of Bray (film) | directed
Malcolm Young | Money Made | created
Red Skelton | A Southern Yankee | actedIn
Red Buttons | The Big Circus | actedIn
Mathieu Amalric | I Saw Ben Barka Get Killed | actedIn
Mateas Delić | Sanski Most | wasBornIn
Frank Finlay | The Deadly Bees | actedIn
Larry Fessenden | Wendigo (film) | edited
J.P. Pennington | I Don't Want to Be a Memory | created
Lukáš Bajer | Heracles Almelo | playsFor
Illeana Douglas | Wedding Bell Blues (film) | actedIn
Pino Donaggio | 7 chili in 7 giorni | wroteMusicFor
Lauri Pirhonen | Porin Palloilijat | isAffiliatedTo
Charlie Ruggles | Her Wedding Night | actedIn
Jan Dam (footballer) | B68 Toftir | playsFor
Black Sabbath | Black Sabbath (song) | created
Gideão | Moreirense F.C. | playsFor
Marco Berger | Argentina | isCitizenOf
Michael Rennie | Seven Cities of Gold (film) | actedIn
Nancy Carroll | Easy Come, Easy Go (1928 film) | actedIn
Tom Wilkinson | Normal (2003 film) | actedIn
Klodian Duro | KF Tirana | isAffiliatedTo
Franco Arcalli | Metti, una sera a cena | edited
Sead Salahović | FK Palilulac Beograd | playsFor
Lee Tracy | Crashing Hollywood (1938 film) | actedIn
Neil Sedaka | Ring Ring (song) | created
Marguerite Renoir | Koenigsmark (1935 film) | edited
Toby Keith | Mockingbird (Inez & Charlie Foxx song) | created
Adolph Deutsch | Father of the Bride (1950 film) | wroteMusicFor
Dumitru Dolgov | FC Costuleni | playsFor
Gene Fowler | Big Jack (film) | created
Quebec City International Festival of Military Bands | Quebec City | isLocatedIn
Giuseppe Becce | The Rebel (1932 film) | wroteMusicFor
Daisuke Watanabe | Final Fantasy XIII | created
Jim Broadbent | Bright Young Things (film) | actedIn
Dmitri Kachura | FC Olimpia Gelendzhik | isAffiliatedTo
Leandro de Oliveira da Luz | Bangkok Glass F.C. | playsFor
Ne-Yo | Give Me Everything | created
George Hurdalek | Abschied von den Wolken | created
David Arnold | Tomorrow Never Dies | wroteMusicFor
Kiran Rathod | Winner (film) | actedIn
Parikshit Sahni | Ek Aadmi | actedIn
Walter Pidgeon | My Dear Miss Aldrich | actedIn
Viveca Lindfors | Don Siegel | isMarriedTo
Sydney Box | When the Bough Breaks (1947 film) | created
John Mills | So Well Remembered | actedIn
Madhubala | Mahal (1949 film) | actedIn
Douglas Z. Doty | Laughter (film) | created
Ed Kelly | Rhode Island Oceaneers | playsFor
Jack White | Another Way to Die | created
Bryan Lopez | Queens | wasBornIn
Emraan Hashmi | Zeher | actedIn
Perica Ivetić | NK Bela Krajina | isAffiliatedTo
Saïd Makasi | Kampala Capital City Authority FC | playsFor
Evelyn Keyes | 99 River Street | actedIn
Lottie Lyell | The Sentimental Bloke | created
Rosa von Praunheim | Red Love | edited
Charlton Heston | The Order (2001 film) | actedIn
Daniel Craig | Quantum of Solace | actedIn
Kuthiravattam Pappu | Poochakkoru Mookkuthi | actedIn
Paul Abraham | The Affairs of Maupassant | wroteMusicFor
Senta Berger | Our Man in Marrakesh | actedIn
Deniss Romanovs | Pro Duta F.C. | isAffiliatedTo
William A. Wellman | The Legion of the Condemned | directed
Henry Silva | Chained Heat | actedIn
Bogdan Străuț | CF Liberty Oradea | isAffiliatedTo
Shaan Rahman | Ohm Shanthi Oshaana | created
Cyril Grant | Ebbsfleet United F.C. | playsFor
Gary Sinise | Truman (1995 film) | created
Robert Fripp | Moonchild (King Crimson song) | created
Tarq, Isfahan | Central District (Natanz County) | isLocatedIn
George III of the United Kingdom | George IV of the United Kingdom | hasChild
Pedro Armendáriz | From Russia with Love (film) | actedIn
Motlalepula Mofolo | MC Saïda | playsFor
Pema Rinchen | Bhutan national football team | playsFor
Michel Legrand | Atlantic City (1980 film) | wroteMusicFor
Mickael Charvet | Bourg-en-Bresse | wasBornIn
Goran Stevanović | S.C. Campomaiorense | playsFor
Liam George | Stotfold F.C. | playsFor
Sika Manu | Penrith Panthers | isAffiliatedTo
Leroy Shield | The Pinch Singer | wroteMusicFor
Brian Howes | What I Want (Daughtry song) | created
Kim Sang-bum (film editor) | Inside Men (film) | edited
Usman Amodu | Kaduna United F.C. | isAffiliatedTo
Philip Cahn | In the Navy (film) | edited
Michael Kahn (film editor) | Reindeer Games | edited
Neri Parenti | Fantozzi - Il ritorno | directed
Marlene Dietrich | Manpower (1941 film) | actedIn
Pino Donaggio | You Don't Have to Say You Love Me | created
Diego Fabbri | War Gods of Babylon | created
Alfred Roome | Deadlier Than the Male | edited
Jutta Hering | Ramona (1961 film) | edited
Andreas Blomqvist (footballer) | IFK Norrköping | playsFor
Slim Pickens | Beyond the Poseidon Adventure | actedIn
Sean Conlon | How Do Ya Feel | created
David Seltzer | Highland Park, Illinois | wasBornIn
Nizhalgal Ravi | The Prince (1996 film) | actedIn
Alessandro Cicognini | Cameriera bella presenza offresi | wroteMusicFor
Milburn Stone | The Great Alaskan Mystery | actedIn
Basu Chatterjee | Kamla Ki Maut | directed
Borja del Rosario | UD Tijarafe | playsFor
Susan Tyrrell | Tales of Ordinary Madness | actedIn
Loretta Young | Private Number (1936 film) | actedIn
Kenneth Williams | Carry On Dick | actedIn
Zigor Goikuria | Écija Balompié | isAffiliatedTo
Shaun Cassidy | Midnight Run for Your Life | created
Ed Begley | Lone Star (1952 film) | actedIn
Edgar Wallace | The Inn on the River | created
LeAnn Rimes | Nothin' New Under the Moon | created
Jason Kreis | Raleigh Express | playsFor
André-Joël Eboué | Caïman Douala | isAffiliatedTo
Yıldıray Baştürk | Turkey national football team | playsFor
Jerren Nixon | North East Stars F.C. | playsFor
Gary Chang | Sniper 2 | wroteMusicFor
Jahnu Barua | Pokhi | created
Parveen Babi | Do Aur Do Paanch | actedIn
Steve Martin | Chris Rock | influences
Fabrizio De Angelis | Man Hunt (1985 film) | directed
Lew Landers | Without Orders | directed
Nutan | Kasturi (1980 film) | actedIn
Nick Castle | Delivering Milo | directed
Karunanidhi | Kaanchi Thalaivan | created
Nathaniel Shilkret | Social Register (film) | wroteMusicFor
Bobby Brackins | Loyal (Chris Brown song) | created
Ralph Murphy | Captain Pirate | directed
Errol Flynn | Footsteps in the Dark (film) | actedIn
Tohou, Benin | Kouffo Department | isLocatedIn
Jake One | The Matrimony (song) | created
István Kovács (footballer, born 1992) | Szombathely | wasBornIn
Humphry Davy | Michael Faraday | influences
Oscar Rosander | Ride Tonight! | edited
Allan Edwall | Jämtland | wasBornIn
Maggie Cheung | The Eagle Shooting Heroes | actedIn
Bill Lenny | Break in the Circle | edited
D. Ross Lederman | Racketeers of the Range | directed
John Schlesinger | The Believers | directed
FK Milano Kumanovo | Kumanovo | isLocatedIn
James Kevin McGuinness | Salute (1929 film) | created
Ruud van Hemert | I Love You Too (2001 film) | directed
Mikel Kaloshi | Albania | isCitizenOf
Devon Sandoval | Albuquerque, New Mexico | wasBornIn
Busby Berkeley | Cinderella Jones | directed
Saif Ali Khan | Agent Vinod (2012 film) | actedIn
Clive Brook | Silence (1931 film) | actedIn
Havoc (musician) | Survival of the Fittest (song) | created
John Boorman | Excalibur (film) | directed
William Hamilton (film editor) | The Hunchback of Notre Dame (1939 film) | edited
Sharon den Adel | Forgiven (Within Temptation song) | created
Tieng Tiny | Phnom Penh Crown FC | playsFor
Easy Mo Bee | Grew Up a Screw Up | created
Graham Lyle | What's Love Got to Do with It (song) | created
Anthony Martin (footballer) | La Vitréenne FC | isAffiliatedTo
Ralph Rainger | Three-Cornered Moon | wroteMusicFor
Vanderson Stolk Francisco | Central Sport Club | isAffiliatedTo
Pia Cayetano | Taguig | livesIn
Joe Pantoliano | Olive, the Other Reindeer | actedIn
Jean Hersholt | The Crime of the Century (1933 film) | actedIn
Kathleen Harrison | Where There's a Will (1955 film) | actedIn
Marilyn Monroe | Love Happy | actedIn
Nightwish | Ever Dream | created
Harry Alan Towers | The Brides of Fu Manchu | created
Muhammad Hafeez Qureshi | Islamabad Capital Territory | livesIn
Curtis Mayfield | Touchdown (Game song) | created
James Baird (footballer) | A.F.C. Totton | playsFor
Beau Bridges | Love Child (1982 film) | actedIn
Bruce Dern | The Glass House (2001 film) | actedIn
Julianne Moore | Far from Heaven | actedIn
Bradley Garmston | Sutton Coldfield Town F.C. | isAffiliatedTo
Silvana Mangano | Bitter Rice | actedIn
A.B. Quintanilla | Amame (song) | created
Duke Lacroix | Ocean City Nor'easters | isAffiliatedTo
Burt Lancaster | Gunfight at the O.K. Corral (film) | actedIn
Gushti | Khorrambid County | isLocatedIn
Joey Kirk | Detroit Rockers | isAffiliatedTo
Jake Bugg | Slumville Sunrise | created
Robert Loggia | Bad Girls (1994 film) | actedIn
Rhys Griffiths (footballer) | Haverfordwest County A.F.C. | isAffiliatedTo
Fisnik Papuçi | Kosovo national football team | playsFor
A. K. Lohithadas | Chakoram | created
Kuca (footballer) | G.D. Estoril Praia | isAffiliatedTo
Willie Overtoom | AZ Alkmaar | playsFor
Eugene Sseppuya | Northern Fury FC | playsFor
Nick Kalmar | St Albans Saints SC | isAffiliatedTo
TMS (production team) | Changing (Sigma song) | created
Velin Damyanov | Chrobry Głogów | playsFor
Michael Rennie | Sailor of the King | actedIn
Þór Akureyri | Akureyri | isLocatedIn
Mecnur Çolak | Adana Demirspor | playsFor
Pavel Zubov | FC Sportakademklub Moscow | isAffiliatedTo
Eric Stoltz | Rob Roy (1995 film) | actedIn
Paul Schütze | Fell (album) | created
Chris Giles | Ebbsfleet United F.C. | isAffiliatedTo
Judith Ivey | The Devil's Advocate (1997 film) | actedIn
Mario Nascimbene | Roman Tales (film) | wroteMusicFor
Ron Goodwin | That Riviera Touch | wroteMusicFor
Asan Mustafayev | FC Zorya Luhansk | isAffiliatedTo
Colin Nutley | Helena Bergström | isMarriedTo
Charles S. Dutton | Gothika | actedIn
Mads Christiansen | Bjerringbro-Silkeborg | isAffiliatedTo
Dejan Milić | Slovenia national under-17 football team | playsFor
Robert Livingston (actor) | Blazing Stewardesses | actedIn
Osmar Francisco | Operário Ferroviário Esporte Clube | playsFor
Ryan Phillippe | Reese Witherspoon | isMarriedTo
Franklin J. Schaffner | Islands in the Stream (film) | directed
Linus Pauling | Lomonosov Gold Medal | hasWonPrize
Nick Rhodes | Out of My Mind (Duran Duran song) | created
John Litel | The Trial of Mary Dugan (1941 film) | actedIn
Jacob Cheung | Cageman | directed
Spencer Gordon Bennet | The Masked Marvel | directed
Adi Adilović | NK Ivančna Gorica | isAffiliatedTo
Oleg Rydny | Narzan Kislovodsk | playsFor
Sysklipos | Girne District | isLocatedIn
Myles Connolly | The Unfinished Dance | created
Miou-Miou | Germinal (1993 film) | actedIn
Nicolas Cage | Army of One (2016 film) | actedIn
Jude Law | The Grand Budapest Hotel | actedIn
Nick Krat | Chicago Spurs | isAffiliatedTo
Denis Šme | Slovenia national under-21 football team | isAffiliatedTo
Jacques Villeret | The Children of the Marshland | actedIn
Sid James | The Pure Hell of St Trinian's | actedIn
Bruce Willis | Nobody's Fool (1994 film) | actedIn
Eureka, Nunavut | Queen Elizabeth Islands | isLocatedIn
Khosravi, Nehbandan | Nehbandan County | isLocatedIn
Dwarakish | Vishnuvardhana (film) | actedIn
Sebastian Szikal | TSV Aindling | isAffiliatedTo
Tom Ricketts | The Belle of Bar-Z Ranch | directed
Rolfe Kent | Mean Girls | wroteMusicFor
Amir Abdelhamid | Al-Masry SC | isAffiliatedTo
S. A. Chandrasekhar | Jadhikkoru Needi | directed
Merle Oberon | Over the Moon (film) | actedIn
Jean Renoir | The Crime of Monsieur Lange | directed
Selver Hodžić | FC Thun | isAffiliatedTo
Adolfo Lima | Al-Wehda Club (Mecca) | playsFor
Bruce Greenwood | Racing Stripes | actedIn
Within Temptation | Forgiven (Within Temptation song) | created
Javier Umbides | Defensores de Belgrano | playsFor
Totò | Caprice Italian Style | actedIn
Thomas Gebauer | SpVgg Bayreuth | playsFor
Lila Lee | The Ghost Breaker (1922 film) | actedIn
Robert Woolsey | Kentucky Kernels | actedIn
Linda Darnell | Dakota Incident | actedIn
Run–D.M.C. | What's It All About (song) | created
Balakrishna (Kannada actor) | Beluvalada Madilalli | actedIn
Harry Hughes (director) | Play Up the Band | directed
Rodolfo Zelaya | Usulután | wasBornIn
Gene Hackman | Loose Cannons (1990 film) | actedIn
Adam Anders | Light Up the World (Glee song) | created
Hideaki Takeda | Indiana Invaders | isAffiliatedTo
Cornell Glen | A.D. Sanjoanense | playsFor
Bibi Andersson | The Girls (1968 film) | actedIn
University of South Florida | Florida | isLocatedIn
Oumarou Nébié | ASFA Yennenga | playsFor
C. R. Subburaman | Abhimanyu (1948 film) | wroteMusicFor
Brandon Flowers | ¡Happy Birthday Guadalupe! | created
Tamás Takács | CF Liberty Oradea | isAffiliatedTo
Sergio Rochet | AZ Alkmaar | playsFor
William Castle | Homicidal | directed
Joe Haverty | Chicago Spurs | isAffiliatedTo
Bálint Bajner | CF Liberty Oradea | playsFor
Daniel Hoffmann | SC Fürstenfeldbruck | isAffiliatedTo
Alex Paul | Classmates (2006 film) | wroteMusicFor
Ubay Luzardo | Ebbsfleet United F.C. | isAffiliatedTo
Richard Fleischer | The Don Is Dead | directed
Terrence Howard | Crash (2004 film) | actedIn
Johnny Depp | The Imaginarium of Doctor Parnassus | actedIn
Thiago Marin Martir | Associação Portuguesa Londrinense | isAffiliatedTo
Luis Raymund Villafuerte | Camarines Sur | isPoliticianOf
Edmund G. Ross | Everton F.C. | playsFor
Alejandro Aragao Da Cruz | S.S.D. Casarano Calcio | playsFor
Palm Beach Atlantic University | Florida | isLocatedIn
Elkin González | Comayagua F.C. | playsFor
Ben Gibbard | Soul Meets Body | created
André 3000 | Play the Guitar | created
Piqua, Ohio | Miami County, Ohio | isLocatedIn
Will Smith | I Am Legend (film) | actedIn
Peter Stormare | Spun | actedIn
Hajjiabad-e Khvoriad | Central District (Semnan County) | isLocatedIn
Dimitris Rizos | AO Chania F.C. | playsFor
Jonathan Goldsmith (musician) | Rare Birds | wroteMusicFor
Leandro de Oliveira da Luz | Hải Phòng F.C. | isAffiliatedTo
George Burns | Cardis Cardell Willis | influences
Nelson Riddle | Paris When It Sizzles | wroteMusicFor
Bibi Andersson | An Enemy of the People (film) | actedIn
Upendra Kumar | Odahuttidavaru | wroteMusicFor
Sam O'Steen | Hurricane (1979 film) | edited
Rod Taylor | The Heroes (1973 film) | actedIn
Sid James | Carry On Doctor | actedIn
Carey Wilson (writer) | The Bad One | created
Alexandre Dumas | John Dickson Carr | influences
Helmut Käutner | The Dream of Lieschen Mueller | directed
Andrew Lloyd Webber | Iron Chef | created
